REGION TYPE,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5),CTR_A (2009 H1N1),CTR_A (H3),CTR_A (Subtyping not Performed),CTR_B,CTR_BVic,CTR_BYam,CTR_H3N2v,CTR_A (H5)
National,2025,49,3480,205,1737,240,51,24,0,0,0,0.058908046,0.499137931,0.068965517,0.014655172,0.006896552,0,0,0
National,2025,50,4771,250,2514,741,43,25,0,0,0,0.052399916,0.526933557,0.155313351,0.009012786,0.005239992,0,0,0
National,2025,51,6987,302,3718,1593,78,33,0,0,0,0.043223129,0.532131101,0.227994848,0.01116359,0.004723057,0,0,0
National,2025,52,7716,328,4266,1842,93,53,0,0,0,0.042509072,0.552877138,0.238724728,0.012052877,0.006868844,0,0,0
National,2025,53,7635,377,4055,1756,106,50,0,0,0,0.049377865,0.531106745,0.229993451,0.013883432,0.006548788,0,0,0
National,2026,1,6602,315,3235,1194,119,51,0,0,0,0.047712814,0.490003029,0.180854287,0.018024841,0.007724932,0,0,0
National,2026,2,4932,290,2388,624,113,81,0,0,0,0.058799676,0.484184915,0.126520681,0.022911598,0.016423358,0,0,0
National,2026,3,4441,318,2335,329,146,88,0,0,0,0.071605494,0.525782481,0.074082414,0.032875478,0.019815357,0,0,0
National,2026,4,3837,270,1883,233,199,155,0,0,0,0.070367475,0.49074798,0.060724524,0.051863435,0.040396143,0,0,0
National,2026,5,4290,323,1934,211,294,172,0,0,0,0.075291375,0.450815851,0.049184149,0.068531469,0.04009324,0,0,0
National,2026,6,3888,285,1475,201,341,243,0,0,0,0.073302469,0.379372428,0.051697531,0.087705761,0.0625,0,0,0
National,2026,7,3521,265,1170,165,512,303,0,0,0,0.075262709,0.332291963,0.046861687,0.145413235,0.086055098,0,0,0
National,2026,8,2943,227,872,105,399,303,0,0,0,0.077132178,0.296296296,0.03567788,0.135575943,0.102956167,0,0,0
National,2026,9,2868,207,746,73,495,311,0,0,0,0.072175732,0.260111576,0.025453278,0.172594142,0.108437936,0,0,0
National,2026,10,2029,134,394,38,354,259,0,0,0,0.066042385,0.194184327,0.018728438,0.174470182,0.127649088,0,0,0
National,2026,11,1368,86,226,41,264,165,0,0,0,0.062865497,0.165204678,0.02997076,0.192982456,0.120614035,0,0,0
National,2026,12,802,59,112,23,137,89,0,0,0,0.073566085,0.139650873,0.028678304,0.170822943,0.110972569,0,0,0
