AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2024-25,48,7.2,6.8,,5.7,6.2,69,"3,248",500,"3,607","57,998",> 100%
National,,All,2024-25,49,7.4,6.9,,6,6.5,87,"3,528",504,"3,913","60,292",> 100%
National,,All,2024-25,50,7.5,7,,6.2,6.8,166,"3,727",571,"4,228","62,413",> 100%
National,,All,2024-25,51,7.6,7.1,,6.7,7.3,231,"3,912",596,"4,496","61,738",> 100%
National,,All,2024-25,52,7.7,7.2,,6.7,7.3,421,"3,821",678,"4,609","63,471",> 100%
National,,All,2024-25,1,7.7,7.3,,8,8.8,764,"4,393",910,"5,689","64,673",> 100%
National,,All,2024-25,2,7.8,7.3,,8.4,9.2,972,"4,665","1,050","6,237","67,506",> 100%
National,,All,2024-25,3,7.9,7.4,,8.6,9.5,"1,010","4,841","1,000","6,408","67,754",> 100%
National,,All,2024-25,4,7.9,7.4,,8.7,9.5,"1,183","4,745",965,"6,462","67,953",> 100%
National,,All,2024-25,5,7.9,7.5,,8.8,9.7,"1,523","4,609",940,"6,695","69,336",> 100%
National,,All,2024-25,6,7.9,7.5,,9.6,10.3,"1,789","4,757",839,"6,995","68,203",> 100%
National,,All,2024-25,7,7.9,7.5,,9.4,10.1,"1,877","4,453",753,"6,737","66,997",> 100%
National,,All,2024-25,8,7.9,7.4,,9.5,10.1,"1,794","4,582",742,"6,778","67,033",> 100%
National,,All,2024-25,9,7.9,7.4,,9,9.7,"1,508","4,489",704,"6,400","66,286",> 100%
National,,All,2024-25,10,7.8,7.3,,8.4,8.9,"1,202","4,263",618,"5,811","65,066",> 100%
National,,All,2024-25,11,7.7,7.3,,7.8,8.3,904,"4,052",508,"5,238","63,486",> 100%
National,,All,2024-25,12,7.7,7.2,,7.4,7.8,697,"3,805",474,"4,752","61,085",> 100%
National,,All,2024-25,13,7.6,7.1,,7.2,7.6,494,"3,858",488,"4,619","60,403",> 100%
National,,All,2024-25,14,7.5,7,,6.6,7,341,"3,542",420,"4,105","58,872",> 100%
National,,All,2024-25,15,7.4,6.9,,6.4,6.8,238,"3,551",373,"4,000","58,794",> 100%
National,,All,2024-25,16,7.2,6.8,,6.4,6.8,164,"3,543",392,"3,939","58,115",> 100%
National,,All,2024-25,17,7.1,6.7,,6.2,6.5,128,"3,459",336,"3,778","57,839",> 100%
National,,All,2024-25,18,7,6.5,,6,6.3,96,"3,332",298,"3,604","57,355",> 100%
National,,All,2024-25,19,6.9,6.4,,6,6.3,84,"3,350",266,"3,579","56,814",> 100%
National,,All,2024-25,20,6.7,6.3,,5.6,5.9,67,"3,158",234,"3,366","57,244",> 100%
National,,All,2024-25,21,6.6,6.1,,5.6,5.7,46,"3,085",195,"3,239","56,332",> 100%
National,,All,2024-25,22,6.5,6,,5.7,5.9,55,"3,132",210,"3,311","55,862",> 100%
National,,All,2024-25,23,6.4,5.9,,5.7,5.9,46,"3,206",196,"3,365","56,601",> 100%
National,,All,2024-25,24,6.3,5.8,,5.5,5.6,49,"3,031",170,"3,181","56,402",> 100%
National,,All,2024-25,25,6.2,5.7,,5.6,5.7,28,"3,089",185,"3,223","56,056",> 100%
National,,All,2024-25,26,6.1,5.6,,5.3,5.5,30,"2,967",167,"3,090","56,440",> 100%
National,,All,2024-25,27,6,5.5,,5.3,5.5,27,"2,925",194,"3,072","56,202",> 100%
National,,All,2024-25,28,5.9,5.4,,5.3,5.5,39,"2,958",172,"3,077","56,242",> 100%
National,,All,2024-25,29,5.9,5.4,,5.4,5.6,23,"2,974",188,"3,103","55,731",> 100%
National,,All,2024-25,30,5.8,5.4,,5.3,5.5,19,"2,932",186,"3,060","55,391",> 100%
National,,All,2024-25,31,5.8,5.3,,5,5.3,17,"2,767",214,"2,916","55,231",> 100%
National,,All,2024-25,32,5.8,5.3,,5.3,5.5,22,"2,922",222,"3,063","55,781",> 100%
National,,All,2024-25,33,5.8,5.3,,5,5.2,14,"2,748",276,"2,924","55,736",> 100%
National,,All,2024-25,34,5.8,5.3,,5.2,5.5,21,"2,885",300,"3,065","55,632",> 100%
National,,All,2024-25,35,5.8,5.4,,5.2,5.6,19,"2,856",372,"3,081","55,390",> 100%
National,,All,2024-25,36,5.9,5.4,,5.3,5.7,23,"2,921",436,"3,212","56,061",> 100%
National,,All,2024-25,37,6,5.5,,5.5,5.9,20,"3,051",438,"3,316","55,987",> 100%
National,,All,2024-25,38,6,5.6,,5.4,5.9,28,"3,029",454,"3,322","56,120",> 100%
National,,All,2024-25,39,6.1,5.7,,5.4,5.9,19,"3,030",477,"3,330","56,229",> 100%
National,,All,2023-24,40,6,5.6,,5.8,7.3,28,"3,335","1,398","4,235","58,057",> 100%
National,,All,2023-24,41,6.1,5.7,,5.9,7.3,36,"3,438","1,315","4,273","58,402",> 100%
National,,All,2023-24,42,6.2,5.8,,5.9,7.4,54,"3,404","1,394","4,331","58,504",> 100%
National,,All,2023-24,43,6.4,5.9,,6.1,7.5,47,"3,532","1,292","4,378","58,493",> 100%
National,,All,2023-24,44,6.5,6,,5.8,7.2,63,"3,355","1,246","4,221","58,980",> 100%
National,,All,2023-24,45,6.6,6.2,,6.2,7.7,72,"3,687","1,395","4,635","60,306",> 100%
National,,All,2023-24,46,6.7,6.3,,6.3,7.8,81,"3,660","1,431","4,636","59,769",> 100%
National,,All,2023-24,47,6.9,6.4,,6.4,7.9,114,"3,704","1,424","4,674","59,374",> 100%
National,,All,2023-24,48,7,6.5,,6.9,8.6,157,"4,107","1,733","5,363","62,008",> 100%
National,,All,2023-24,49,7.1,6.7,,7,8.8,205,"4,227","1,793","5,580","63,364",> 100%
National,,All,2023-24,50,7.2,6.8,,7.2,9,286,"4,214","1,845","5,635","62,799",> 100%
National,,All,2023-24,51,7.3,6.9,,7.4,9.3,455,"4,342","1,936","5,994","64,421",> 100%
National,,All,2023-24,52,7.4,7,,8.3,10.3,699,"4,706","2,231","6,752","65,280",> 100%
National,,All,2023-24,1,7.5,7,,9.1,11.3,908,"5,199","2,494","7,604","67,051",> 100%
National,,All,2023-24,2,7.6,7.1,,9,11.2,858,"5,290","2,587","7,657","68,180",> 100%
National,,All,2023-24,3,7.6,7.2,,8.5,10.6,722,"4,959","2,365","7,087","66,753",> 100%
National,,All,2023-24,4,7.7,7.2,,8.3,10.3,617,"4,880","2,135","6,784","66,097",> 100%
National,,All,2023-24,5,7.7,7.2,,7.6,9.3,542,"4,233","1,745","5,810","62,716",> 100%
National,,All,2023-24,6,7.7,7.2,,7.4,9,458,"4,176","1,622","5,590","62,247",> 100%
National,,All,2023-24,7,7.7,7.2,,7.3,8.6,462,"3,970","1,389","5,264","61,067",> 100%
National,,All,2023-24,8,7.7,7.2,,7.1,8.3,410,"3,960","1,326","5,146","61,673",> 100%
National,,All,2023-24,9,7.6,7.2,,7.3,8.5,398,"4,021","1,271","5,174","60,739",> 100%
National,,All,2023-24,10,7.6,7.1,,7,8.1,403,"3,817","1,102","4,888","60,330",> 100%
National,,All,2023-24,11,7.5,7.1,,6.7,7.7,335,"3,649","1,042","4,615","59,848",> 100%
National,,All,2023-24,12,7.5,7,,6.6,7.5,265,"3,620",852,"4,388","58,465",> 100%
National,,All,2023-24,13,7.4,6.9,,6.6,7.3,237,"3,626",739,"4,309","58,737",> 100%
National,,All,2023-24,14,7.3,6.8,,6.4,7.1,203,"3,568",633,"4,144","58,749",> 100%
National,,All,2023-24,15,7.2,6.7,,6.5,7.1,202,"3,630",573,"4,172","59,014",> 100%
National,,All,2023-24,16,7.1,6.6,,6,6.5,164,"3,306",499,"3,781","57,755",> 100%
National,,All,2023-24,17,7,6.5,,6,6.4,109,"3,310",429,"3,687","57,295",> 100%
National,,All,2023-24,18,6.8,6.4,,5.8,6.2,86,"3,202",426,"3,543","57,025",> 100%
National,,All,2023-24,19,6.7,6.3,,5.9,6.2,100,"3,240",334,"3,522","56,824",> 100%
National,,All,2023-24,20,6.6,6.2,,5.8,6.1,61,"3,189",340,"3,459","56,513",> 100%
National,,All,2023-24,21,6.5,6,,5.6,5.9,49,"3,097",344,"3,355","56,390",> 100%
National,,All,2023-24,22,6.4,5.9,,5.5,5.9,45,"3,048",325,"3,301","55,752",> 100%
National,,All,2023-24,23,6.3,5.8,,5.7,6,50,"3,208",314,"3,437","56,884",> 100%
National,,All,2023-24,24,6.2,5.7,,5.6,5.9,41,"3,095",366,"3,343","56,436",> 100%
National,,All,2023-24,25,6.1,5.6,,5.5,6,46,"3,068",433,"3,360","56,114",> 100%
National,,All,2023-24,26,6,5.5,,5.4,5.8,28,"3,008",443,"3,316","56,689",> 100%
National,,All,2023-24,27,5.9,5.5,,5.5,6.1,33,"3,083",533,"3,443","56,390",> 100%
National,,All,2023-24,28,5.9,5.4,,5.6,6.1,44,"3,083",593,"3,446","56,313",> 100%
National,,All,2023-24,29,5.8,5.3,,5.5,6.3,34,"3,012",736,"3,497","55,750",> 100%
National,,All,2023-24,30,5.8,5.3,,5.7,6.6,20,"3,174",858,"3,680","55,959",> 100%
National,,All,2023-24,31,5.8,5.3,,5.7,6.7,34,"3,166",985,"3,777","56,626",> 100%
National,,All,2023-24,32,5.8,5.3,,5.7,6.8,28,"3,163","1,069","3,817","56,285",> 100%
National,,All,2023-24,33,5.8,5.3,,5.7,6.8,24,"3,195","1,082","3,843","56,509",> 100%
National,,All,2023-24,34,5.8,5.3,,5.6,7,34,"3,154","1,253","3,955","56,425",> 100%
National,,All,2023-24,35,5.8,5.4,,5.7,7.2,34,"3,177","1,358","4,068","56,478",> 100%
National,,All,2023-24,36,5.9,5.4,,5.8,7.2,29,"3,249","1,228","4,026","56,307",> 100%
National,,All,2023-24,37,6,5.5,,5.7,7,22,"3,215","1,243","3,977","56,923",> 100%
National,,All,2023-24,38,6.1,5.6,,5.9,7,40,"3,278","1,102","3,961","56,399",> 100%
National,,All,2023-24,39,6.2,5.7,,5.8,6.9,34,"3,261","1,034","3,898","56,500",> 100%
National,,All,2022-23,40,5.9,5.4,,6,8.5,28,"3,544","2,200","5,040","59,539",> 100%
National,,All,2022-23,41,6,5.5,,6.1,8.5,56,"3,560","2,159","5,087","59,711",> 100%
